Course Code,Course Title,Session,Instructor,Cr Hrs,Day and Time
MATH 309 LEC 1,Introduction to Analysis II,16W,Waqas Ali Azhar,3.0,MW 3:00PM-4:15PM
MATH 341 LEC 1,Operations Research I,16W,Kamran Rashid,3.0,MW 8:00AM-9:15AM
MATH 414 LEC 1,Symmetry Methods for Differential Equations,16W,Imran Naeem,3.0,MW 11:30AM-12:45PM
MATH 4418 LEC 1,Numerical Linear Algebra,16W,Reza Abdolmaleki,3.0,MW 1:00PM-2:15PM
MATH 521 LEC 1,Advanced Algebra,16W,Imran Anwar,3.0,TR 10:00AM-11:15AM
MATH 5300 LEC 1,Probability and Statistical Analysis,16W,Sultan Sial,3.0,TR 1:00PM-2:15PM
MECO 111 LEC 1,Principles of Microeconomics,16W,Sameen Zafar,3.0,MW 2:00PM-3:15PM
MECO 111 LEC 2,Principles of Microeconomics,16W,Sameen Zafar,3.0,MW 3:30PM-4:45PM
MECO 111 LEC 3,Principles of Microeconomics,16W,Ummad Mazhar,3.0,TR 9:30AM-10:45AM
MECO 111 LEC 4,Principles of Microeconomics,16W,Ummad Mazhar,3.0,TR 11:00AM-12:15PM
MECO 111 LEC 5,Principles of Microeconomics,16W,Rabia Khan,3.0,TR 2:00PM-3:15PM
MECO 111 LEC 6,Principles of Microeconomics,16W,,3.0,MW 3:30PM-4:45PM
MECO 111 LEC 7,Principles of Microeconomics,16W,,3.0,MW 5:00PM-6:15PM
MECO 2201 LEC 1,Introduction to Business Economics,SDSB-Foundation,Ummad Mazhar,1.5,MRFSU 4:30PM-6:40PM
MECO 2201 LEC 2,Introduction to Business Economics,SDSB-Foundation,,1.5,MRFSU 8:30AM-10:40AM
MECO 5201 LEC 1,Business Economics,MS1,Ummad Mazhar,1.5,FSU 8:30AM-10:30AM
MECO 5201 LEC 2,Business Economics,MS1,Misbah Tanveer Chaudhry,1.5,FSU 4:15PM-6:15PM
MECO 5201 LEC 3,Business Economics,MS1,Misbah Tanveer Chaudhry,1.5,FSU 10:45AM-12:45PM
MECO 7301 LEC 1,Economic Theory,16W,Misbah Tanveer Chaudhry,3.0,T 3:00PM-6:00PM
MGMT 142 LEC 1,Principles of Management,16W,Mujeeb Rashid,3.0,TR 2:00PM-3:15PM
MGMT 142 LEC 2,Principles of Management,16W,Fareed Ud Din Farooq Qureshi,3.0,TR 9:30AM-10:45AM
MGMT 142 LEC 3,Principles of Management,16W,Fareed Ud Din Farooq Qureshi,3.0,TR 11:00AM-12:15PM
MGMT 142 LEC 4,Principles of Management,16W,Afaf Khalid,3.0,TR 9:30AM-10:45AM
MGMT 142 LEC 5,Principles of Management,16W,Mohsin Bashir,3.0,MW 11:00AM-12:15PM
MGMT 142 LEC 6,Principles of Management,16W,,3.0,MW 2:00PM-3:15PM
MGMT 142 LEC 7,Principles of Management,16W,,3.0,TR 2:00PM-3:15PM
MGMT 212 LEC 1,Business Communication,16W,Aneka Fahima Sufi,3.0,TR 11:00AM-12:15PM
MGMT 212 LEC 2,Business Communication,16W,Aneka Fahima Sufi,3.0,TR 2:00PM-3:15PM
MGMT 212 LEC 3,Business Communication,16W,Mehr Farhan Cheema,3.0,TR 9:30AM-10:45AM
MGMT 212 LEC 4,Business Communication,16W,Shezeen Salim Hemani,3.0,MW 11:00AM-12:15PM
MGMT 212 LEC 5,Business Communication,16W,Shezeen Salim Hemani,3.0,MW 12:30PM-1:45PM
MGMT 242 LEC 1,Business Ethics and Corporate Social Responsibility,16W,Razi Allah Lone,3.0,TR 11:00AM-12:15PM
MGMT 242 LEC 2,Business Ethics and Corporate Social Responsibility,16W,Razi Allah Lone,3.0,TR 2:00PM-3:15PM
MGMT 242 LEC 3,Business Ethics and Corporate Social Responsibility,16W,Razi Allah Lone,3.0,TR 3:30PM-4:45PM
MGMT 243 LEC 1,Public Administration,16W,Mohsin Bashir,3.0,TR 11:00AM-12:15PM
MGMT 247 LEC 1,Public Financial Management,16W,Sajid Siddique,3.0,TR 3:30PM-4:45PM
MGMT 252 LEC 1,Logic and Critical Thinking,16W,Muhammad Shabbir Ahsen,3.0,MW 2:00PM-3:15PM
MGMT 260 LEC 1,Business Law,16W,Ali Sultan,3.0,MW 8:00AM-9:15AM
MGMT 260 LEC 2,Business Law,16W,Ali Sultan,3.0,MW 9:30AM-10:45AM
MGMT 260 LEC 3,Business Law,16W,Ali Sultan,3.0,MW 11:00AM-12:15PM
MGMT 2601 LEC 1,Introduction to Management,SDSB-Foundation,Faiza Ali,1.5,MRFSU 11:00AM-1:10PM
MGMT 2601 LEC 2,Introduction to Management,SDSB-Foundation,,1.5,MRFSU 2:00PM-4:10PM
MGMT 261 LEC 1,Introduction to Policy Analysis,16W,Ghazal Mir Zulfiqar,3.0,TR 9:30AM-10:45AM
MGMT 262 LEC 1,Governance System of Pakistan,16W,,3.0,MW 5:00PM-6:15PM
MGMT 263 LEC 1,Contemporary Social Policy Issues in Pakistan,16W,Muhammad Ahsan Rana,3.0,TR 12:30PM-1:45PM
MGMT 283 LEC 1,Fundamentals of Hospitality Management,16W,Shireen Waheed,3.0,MW 12:30PM-1:45PM
MGMT 343 LEC 1,E-Government,16W,Shafay Shamail,3.0,TR 9:30AM-10:45AM
MGMT 348 LEC 1,Internet Governance and Technology Policy,16W,,3.0,MW 5:00PM-6:15PM
MGMT 386 LEC 1,"Business, Government, and Society",16W,Ghazal Mir Zulfiqar,3.0,TR 2:00PM-3:15PM
MGMT 400 LEC 1,Strategic Business Management,16W,Adnan Zahid,3.0,TR 3:30PM-4:45PM
MGMT 400 LEC 2,Strategic Business Management,16W,Adnan Zahid,3.0,MW 3:30PM-4:45PM
MGMT 400 LEC 3,Strategic Business Management,16W,Salma Zaman,3.0,TR 9:30AM-10:45AM
MGMT 481 LEC 1,Entrepreneurship,16W,Sahar Arif,3.0,TR 5:00PM-6:15PM
MGMT 7501 LEC 1,Philosophy of Administrative Sciences,10-WKS,Anjum Fayyaz,2.0,W 2:30PM-5:30PM
MGMT 8102 LEC 1,Seminar in Strategic Management,16W,Salma Zaman,3.0,W 9:00AM-12:00PM
MKTG 201 LEC 1,Principles of Marketing,16W,Muhammad Asim,3.0,TR 12:30PM-1:45PM
MKTG 201 LEC 2,Principles of Marketing,16W,Mahira Ilyas,3.0,TR 9:30AM-10:45AM
MKTG 201 LEC 3,Principles of Marketing,16W,Mahira Ilyas,3.0,TR 11:00AM-12:15PM
MKTG 201 LEC 4,Principles of Marketing,16W,Khudejah Iqbal Ali,3.0,MW 3:30PM-4:45PM
MKTG 2401 LEC 1,Introduction to Marketing,SDSB-Foundation,Saima Mujtaba Rana,1.5,MRFSU 8:30AM-10:40AM
MKTG 2401 LEC 2,Introduction to Marketing,SDSB-Foundation,,1.5,MRFSU 4:30PM-6:40PM
MKTG 302 LEC 1,Using New Media Technologies in Marketing,16W,,3.0,TR 3:30PM-4:45PM
MKTG 324 LEC 1,Integrated Marketing Communications,16W,,3.0,MW 3:30PM-4:45PM
MKTG 332 LEC 1,Consumer Behaviour,16W,Saima Mujtaba Rana,3.0,TR 9:30AM-10:45AM
MKTG 343 LEC 1,Marketing Models,16W,Muhammad Asim,3.0,TR 3:30PM-4:45PM
MKTG 345 LEC 1,Data Analytics for New Product Development,16W,Muhammad Asim,3.0,MW 3:30PM-4:45PM
MKTG 392 LEC 1,Brand Management,16W,Moeen Naseer Butt,3.0,MW 2:00PM-3:15PM
MKTG 5401 LEC 1,Marketing Management,MS1,Usman Iqbal Bhatty,3.0,FSU 10:45AM-12:45PM
MKTG 5401 LEC 2,Marketing Management,MS1,Aaminah Zaman Malik,3.0,FSU 8:30AM-10:30AM
